     Experiment       Duration  Iterations
                      (mm:ss)
------------------------------------------
    Experiment09       17:19      3  
    Experiment09       13:52      3  
    Experiment10       18:19      2  
    Experiment06       29:38      4  
    Experiment15       06:13      4  
    Experiment04       23:50      3  
    Experiment19       11:10      1  
    Experiment18       29:20      2  
    Experiment09       14:33      3  
    Experiment12       24:18      3  
    Experiment19       28:30      0  
    Experiment01       12:14      0  
    Experiment12       14:08      2  
    Experiment12       24:08      1  
    Experiment20       29:01      0  
    Experiment13       22:02      1  
    Experiment16       05:06      0  
    Experiment13       16:35      3  
    Experiment06       16:33      1  
    Experiment13       20:40      1  
    Experiment10       04:15      3  
    Experiment19       22:59      1  
    Experiment18       28:37      4  
    Experiment06       26:42      3  
    Experiment01       21:40      4  
    Experiment11       01:43      2  
    Experiment08       12:09      4  
    Experiment03       19:01      2  
    Experiment05       17:40      0  
    Experiment00       26:53      2  
    Experiment19       11:03      4  
    Experiment03       09:03      0  
    Experiment15       12:44      3  
    Experiment20       22:22      2  
    Experiment09       18:22      2  
    Experiment00       03:51      1  
    Experiment14       06:02      3  
    Experiment10       20:23      4  
    Experiment16       01:52      2  
    Experiment13       16:59      1  
    Experiment06       06:52      1  
    Experiment14       09:50      1  
    Experiment07       12:09      2  
    Experiment14       09:46      2  
    Experiment20       16:33      0  
    Experiment20       14:22      3  
    Experiment18       29:16      0  
    Experiment07       14:25      0  
    Experiment01       22:16      3  
    Experiment11       15:37      4  
    Experiment08       16:42      2  
    Experiment15       22:18      3  
    Experiment05       23:43      1  
    Experiment13       12:01      1  
    Experiment05       08:39      4  
    Experiment14       04:23      4  
    Experiment06       24:42      0  
    Experiment05       14:36      4  
    Experiment20       29:03      3  
    Experiment07       27:25      3  
    Experiment17       08:14      3  
    Experiment16       21:51      0  
    Experiment10       06:41      0  
    Experiment09       25:41      3  
    Experiment17       02:13      4  
    Experiment15       03:08      1  
    Experiment18       05:10      1  
    Experiment08       20:10      4  
    Experiment09       02:32      0  
